'MagX','MagY',MagZ','Health',,,,,0
379,29,654,1,,,,,
382,29,652,1,,,,,
380,29,653,1,,,,,
380,26,658,1,,,,,
378,29,659,1,,,,,
380,30,660,1,,,,,
379,34,662,1,,,,,
382,32,657,1,,,,,
377,30,659,1,,,,,
379,33,660,1,,,,,
380,33,659,1,,,,,
379,31,657,1,,,,,
377,30,659,1,,,,,
380,26,660,1,,,,,
381,30,659,1,,,,,
380,32,656,1,,,,,
382,30,656,1,,,,,
383,29,656,1,,,,,
384,26,660,1,,,,,
384,28,656,1,,,,,
384,30,655,1,,,,,
382,32,656,1,,,,,
383,33,661,1,,,,,
379,29,659,1,,,,,
382,28,656,1,,,,,
385,28,656,1,,,,,
383,27,654,1,,,,,
384,27,660,1,,,,,
383,25,660,1,,,,,
384,29,655,1,,,,,
382,30,655,1,,,,,
384,31,657,1,,,,,
384,30,658,1,,,,,
383,29,662,1,,,,,
383,32,664,1,,,,,
382,32,662,1,,,,,
386,31,662,1,,,,,
383,30,661,1,,,,,
380,26,660,1,,,,,
381,31,658,1,,,,,
382,33,656,1,,,,,
382,33,659,1,,,,,
383,29,660,1,,,,,
381,27,658,1,,,,,
384,26,658,1,,,,,
381,28,661,1,,,,,
382,27,652,1,,,,,
382,31,657,1,,,,,
383,28,662,1,,,,,
384,34,665,1,,,,,
380,35,658,1,,,,,
381,33,665,1,,,,,
382,31,662,1,,,,,
381,30,660,1,,,,,
381,30,659,1,,,,,
385,27,662,1,,,,,
383,30,658,1,,,,,
382,29,663,1,,,,,
379,27,661,1,,,,,
380,30,664,1,,,,,
382,28,660,1,,,,,
383,30,661,1,,,,,
385,29,659,1,,,,,
384,26,660,1,,,,,
383,30,661,1,,,,,
387,30,662,1,,,,,
387,29,662,1,,,,,
387,30,662,1,,,,,
384,27,661,1,,,,,
384,29,658,1,,,,,
385,28,662,1,,,,,
388,29,658,1,,,,,
385,32,658,1,,,,,
385,29,656,1,,,,,
385,29,660,1,,,,,
384,28,660,1,,,,,
384,30,657,1,,,,,
381,31,659,1,,,,,
385,27,658,1,,,,,
385,31,661,1,,,,,
386,30,664,1,,,,,
382,28,657,1,,,,,
382,26,658,1,,,,,
381,27,661,1,,,,,
384,29,663,1,,,,,
386,31,661,1,,,,,
385,30,662,1,,,,,
386,31,661,1,,,,,
384,30,663,1,,,,,
382,32,659,1,,,,,
383,30,659,1,,,,,
383,30,663,1,,,,,
384,33,660,1,,,,,
383,31,660,1,,,,,
383,33,657,1,,,,,
381,33,657,1,,,,,
379,32,660,1,,,,,
380,33,658,1,,,,,
381,29,661,1,,,,,
382,33,661,1,,,,,
384,31,662,1,,,,,
385,31,659,1,,,,,
384,31,658,1,,,,,
383,27,662,1,,,,,
381,27,661,1,,,,,
383,27,657,1,,,,,
383,26,657,1,,,,,
384,26,660,1,,,,,
